Centroid_Bi,Centroid_Uni,Event_Features,FirstRel_Doc,FreqWord_Bi,FreqWord_Uni,Label,SigTerm_Bi,SigTerm_Uni,doc_first,entity_score,length,position,quote
3.31486407904,3.19238110722,10,0.0741249316661,2,4,0,11,11,0,1.0,19,0,0
1.73205080757,1.99273455797,2,0.0,0,1,0,3,4,0,0.0,10,0,0
2.82733341852,2.91589536268,2,0.0,1,4,0,8,9,0,1.0,19,0,0
1.73205080757,1.97836704348,1,0.138675049056,0,2,0,3,4,0,0.0,8,0,0
1.41421356237,1.7265222914,1,0.160128153805,0,3,0,2,3,0,0.0,8,0,0
2.0,2.21603869685,1,0.0,0,1,0,4,5,0,0.0,9,0,0
1.73205080757,1.9981168522,1,0.0,0,0,0,3,4,0,0.0,7,0,0
3.60555127546,3.6952172893,10,0.0,0,2,0,13,14,0,3.0,19,0,0
3.46410161514,3.58293396573,5,0.0,0,3,0,12,13,0,1.0,27,0,0
2.64575131106,2.82038625652,3,0.0,0,1,0,7,8,0,0.0,19,0,0
2.44948974278,2.64030840374,2,0.0,0,0,0,6,7,0,1.0,14,0,0
2.0,2.16797442411,3,0.124034734589,0,2,0,4,5,0,1.0,13,0,0
3.99917981269,4.09756545525,11,0.0,1,2,0,16,17,0,4.0,35,0,0
2.82842712475,2.99397060231,4,0.0,0,1,0,8,9,0,0.0,18,0,0
2.82842712475,2.99086536379,6,0.0,0,1,0,8,9,0,1.0,18,0,0
1.0,1.35030272552,1,0.0,0,1,0,1,2,0,0.0,5,0,0
1.0,1.38731037875,1,0.196116135138,0,1,0,1,2,0,0.0,6,0,0
1.0,1.41421356237,1,0.0,0,0,0,1,2,0,0.0,7,0,0
0.0,0.0,1,0.0,0,0,0,0,0,0,0.0,7,0,0
2.82842712475,2.99086536379,5,0.0924500327042,0,0,0,8,9,0,0.0,10,0,0
2.82518631536,2.95783076037,6,0.0,1,1,0,8,9,0,0.0,16,0,0
2.0,2.22985237878,1,0.0,0,1,0,4,5,0,0.0,9,0,0
2.44948974278,2.60285673452,4,0.0,0,2,0,6,7,0,3.0,14,0,0
3.74003284282,3.65236725056,11,0.201801838199,2,3,0,14,14,0,2.0,27,0,0
1.73205080757,1.94235254295,1,0.0,0,2,0,3,4,0,0.0,10,0,0
1.73205080757,1.99864649288,3,0.0,0,0,0,3,4,0,0.0,9,0,0
2.2347873638,2.39920658705,1,0.0,1,1,0,5,6,0,0.0,15,0,0
2.82842712475,2.93156550991,2,0.0924500327042,0,4,0,8,9,0,1.0,18,0,0
1.0,1.40357349181,1,0.196116135138,0,1,0,1,2,0,0.0,8,0,0
4.35683879264,4.39989980424,12,0.124034734589,3,6,0,19,20,0,4.0,38,0,0
2.0,2.17460438106,2,0.124034734589,0,3,0,4,5,0,1.0,19,0,0
2.2360679775,2.44310016002,1,0.0,0,1,0,5,6,0,0.0,11,0,0
1.99864649288,2.18073780485,1,0.0,1,3,0,4,5,0,0.0,14,0,0
0.0,1.0,1,0.0,0,0,0,0,1,0,0.0,8,0,0
3.1604665989,3.2743827525,7,0.0836242010007,2,4,0,10,11,0,2.0,17,0,0
2.0,2.2360679775,1,0.0,0,0,0,4,5,0,0.0,11,0,0
3.99917981269,3.93213525791,7,0.0,1,6,0,16,16,0,4.0,26,0,0
3.16227766017,3.29811690178,6,0.0836242010007,0,2,0,10,11,0,1.0,15,0,0
2.44827869852,2.61106653632,3,0.104828483672,1,4,0,6,7,0,1.0,15,0,0
0.0,1.0,1,0.0,0,1,0,0,1,0,0.0,5,0,0
1.41421356237,1.69673756513,1,0.0,0,1,1,2,3,0,0.0,6,0,0
2.44948974278,2.59586940967,3,0.0,0,1,0,6,7,0,0.0,15,0,0
2.2360679775,2.42014961727,1,0.0,0,1,1,5,6,0,0.0,11,0,0
3.87298334621,3.96337406083,6,0.0,0,1,0,15,16,0,2.0,23,0,0
2.82842712475,2.78250868331,4,0.0,0,3,0,8,8,0,1.0,21,0,0
2.82842712475,2.95460416556,1,0.0,0,1,0,8,9,0,0.0,16,0,0
2.0,2.18098346464,1,0.0,0,1,0,4,5,0,0.0,11,0,0
1.73205080757,1.94310037079,2,0.0,0,2,0,3,4,0,1.0,14,0,0
3.31486407904,3.39377175061,4,0.0,2,4,0,11,12,0,3.0,29,0,0
3.46410161514,3.06778750211,4,0.0,0,5,0,12,10,0,3.0,22,0,0
3.44713903227,3.5304624861,7,1.0,3,7,0,12,13,1,5.0,28,1,0
3.14432958445,3.24043838241,9,0.418121005004,3,6,0,10,11,0,1.0,17,0,0
3.44761213638,3.52811351415,7,0.230769230769,2,5,0,12,13,0,2.0,19,0,0
3.16227766017,3.31068199326,3,0.0,0,1,0,10,11,0,0.0,20,0,0
5.55927685024,5.4071423394,8,0.277350098113,3,7,0,31,30,0,3.0,51,0,0
3.87298334621,3.75370203758,2,0.130744090092,2,4,0,15,15,0,0.0,32,0,0
1.41421356237,1.71850664461,1,0.160128153805,0,2,0,2,3,0,0.0,5,0,0
3.14783781176,3.12860032492,8,0.230769230769,1,5,0,10,10,0,1.0,21,0,0
2.82842712475,2.99448251043,1,0.0,0,0,0,8,9,0,0.0,14,0,0
2.44948974278,2.60049406986,1,0.0,0,2,0,6,7,0,0.0,13,0,0
2.64575131106,2.79182685401,4,0.0,1,1,1,7,8,0,1.0,17,0,0
2.2360679775,2.41531344833,2,0.0,0,2,0,5,6,0,0.0,14,0,8
4.24264068712,4.32432545867,11,0.0636284762976,0,4,0,18,19,0,1.0,31,0,0
3.16227766017,3.06524446378,3,0.0,0,3,0,10,10,0,0.0,17,0,0
3.43845677734,3.52103671949,3,0.153846153846,4,8,1,12,13,0,0.0,22,0,0
3.1608193964,3.29436684867,3,0.0,1,5,0,10,11,0,1.0,23,0,0
4.35589519821,4.39927804996,6,0.0620173672946,5,8,0,19,20,0,3.0,30,0,0
2.2360679775,2.39650530612,4,0.0,0,3,0,5,6,0,0.0,12,0,0
1.73205080757,1.99401587831,1,0.0,0,1,0,3,4,0,0.0,6,0,0
3.74165738677,3.81743461161,4,0.0,0,6,0,14,15,0,1.0,23,0,0
4.12194539842,4.16537696572,5,0.0653720450461,1,5,0,17,18,0,1.0,42,0,0
1.73205080757,1.99127391164,1,0.0,0,2,0,3,4,0,0.0,17,0,0
2.8125030233,2.91584547572,1,0.184900065408,1,4,0,8,9,0,0.0,22,0,0
3.99648779999,3.97283347363,3,0.190885428893,1,9,0,16,16,0,0.0,24,0,0
4.23931236905,4.324902315,8,0.0,2,4,0,18,19,0,1.0,28,0,0
3.45663867003,3.55434117436,5,0.0769230769231,3,7,0,12,13,0,2.0,26,0,0
3.73928994799,3.83141879548,2,0.0716114874039,2,2,0,14,15,0,1.0,28,0,0
2.63986352443,2.79068471729,1,0.0,2,3,0,7,8,0,0.0,18,0,4
2.0,2.17207119506,1,0.124034734589,1,1,1,4,5,0,0.0,11,0,0
2.98487050939,3.08451268743,1,0.0877058019307,1,3,0,9,10,0,0.0,16,0,0
3.73928994799,3.80449946215,3,0.214834462212,4,4,0,14,15,0,1.0,27,0,0
2.0,2.1990685287,1,0.0,0,2,0,4,5,0,0.0,13,0,0
3.73928994799,3.84218552681,3,0.0716114874039,2,4,0,14,15,0,0.0,26,0,2
2.82842712475,2.99593075647,2,0.0,0,0,0,8,9,0,0.0,18,0,0
3.1608193964,2.98504004244,1,0.0769230769231,1,1,0,10,10,0,0.0,27,0,0
3.7292695199,3.69470512733,2,0.134534558799,4,7,0,14,14,0,0.0,25,0,0
3.86936716655,3.93840871773,6,0.277350098113,1,5,0,15,16,0,1.0,33,0,0
2.0,2.21795805086,7,0.0,0,2,0,4,5,0,0.0,13,0,0
3.13507052533,2.94007299798,6,0.153846153846,3,6,0,10,10,0,1.0,24,0,0
2.44948974278,2.59511231304,1,0.0,1,2,0,6,7,0,0.0,25,0,0
